,datetime,계절,사고시간,hour,공정율,날씨,공사종류,공종(소분류),공사비,작업자수,부상자,최소공사비
1453,2019-08-13,여름,14:30,14,50~59%,맑음,건축/건축물/문화 및 집회시설,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하,2,20억 
1454,2019-08-13,여름,16:10,16,10% 미만,흐림,건축/건축물/공동주택,가설공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1455,2019-08-14,여름,7:37,7,30~39%,맑음,조경/공원,기타,3억 ~ 5억원 미만,19인 이하,1,3억 
1456,2019-08-14,여름,10:00,10,90% 이상,맑음,건축/건축물/교육연구시설,창호 및 유리공사,2억 ~ 3억원 미만,19인 이하,1,2억 
1457,2019-08-14,여름,11:40,11,50~59%,맑음,토목/옹벽 및 절토사면/절토사면,토공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1458,2019-08-14,여름,14:30,14,40~49%,흐림,토목/옹벽 및 절토사면/절토사면,토공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1459,2019-08-14,여름,14:40,14,80~89%,맑음,건축/건축물/업무시설,조적공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1460,2019-08-15,여름,10:25,10,70~79%,흐림,건축/건축물/기타,수장공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1461,2019-08-16,여름,7:00,7,10~19%,맑음,건축/건축물/근린생활시설,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1462,2019-08-16,여름,8:40,8,40~49%,맑음,산업환경설비/환경시설/환경오염방지시설,토공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1463,2019-08-16,여름,8:50,8,10~19%,맑음,건축/건축물/업무시설,가설공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1464,2019-08-16,여름,8:50,8,90% 이상,맑음,건축/건축물/운수시설,기타,5억 ~ 10억원 미만,19인 이하,1,5억 
1465,2019-08-16,여름,9:00,9,90% 이상,흐림,건축/건축물/업무시설,기타,100억 ~ 150억원 미만,19인 이하,1,100억 
1466,2019-08-16,여름,11:50,11,50~59%,흐림,토목/도로/도로,교량공사,200억 ~ 300억원 미만,19인 이하,1,200억 
1467,2019-08-16,여름,15:40,15,40~49%,맑음,건축/건축물/교육연구시설,건축 토공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1468,2019-08-17,여름,10:20,10,50~59%,맑음,산업환경설비/환경시설/하수처리시설,철근콘크리트공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1469,2019-08-18,여름,11:30,11,90% 이상,흐림,건축/건축물/근린생활시설,방수공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1470,2019-08-18,여름,14:30,14,10% 미만,맑음,토목/터널/철도터널,터널공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1471,2019-08-18,여름,15:10,15,90% 이상,맑음,건축/건축물/교육연구시설,기타,5억 ~ 10억원 미만,19인 이하,1,5억 
1472,2019-08-19,여름,9:30,9,10% 미만,맑음,건축/건축물/공동주택,가설공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1474,2019-08-19,여름,16:04,16,50~59%,맑음,건축/건축물/근린생활시설,타일 및 돌공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1475,2019-08-19,여름,16:30,16,20~29%,맑음,토목/상하수도/하수도,관공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1476,2019-08-20,여름,11:30,11,60~69%,맑음,토목/상하수도/상수도,가설공사,"500억 ~ 1,000억원 미만",19인 이하,1,500억 
1477,2019-08-20,여름,11:30,11,70~79%,맑음,토목/교량/철도교량,해체 및 철거공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1478,2019-08-20,여름,13:20,13,50~59%,강우,건축/건축물/공장,철골공사,2억 ~ 3억원 미만,19인 이하,1,2억 
1479,2019-08-20,여름,14:30,14,30~39%,맑음,토목/상하수도/하수도,가설공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1480,2019-08-20,여름,16:30,16,90% 이상,맑음,건축/건축물/공동주택,도로 및 포장공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1481,2019-08-21,여름,9:50,9,50~59%,맑음,건축/건축물/교육연구시설,목공사,1억 ~ 2억원 미만,19인 이하,1,1억 
1482,2019-08-21,여름,10:00,10,70~79%,맑음,건축/건축물/판매시설,철골공사,"500억 ~ 1,000억원 미만",19인 이하,1,500억 
1483,2019-08-21,여름,10:00,10,10~19%,안개,건축/건축물/창고시설,가설공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1484,2019-08-21,여름,11:30,11,50~59%,맑음,토목/도로/도로,가설공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1485,2019-08-21,여름,17:16,17,20~29%,맑음,건축/건축물/단독주택,기타,3억 ~ 5억원 미만,19인 이하,1,3억 
1486,2019-08-22,여름,9:20,9,70~79%,강우,건축/건축물/교정 및 군사시설,타일 및 돌공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1487,2019-08-22,여름,11:30,11,10% 미만,맑음,건축/건축물/교육연구시설,건축 토공사,150억 ~ 200억원 미만,19인 이하,1,150억 
1488,2019-08-22,여름,13:30,13,80~89%,강우,건축/건축물/교육연구시설,창호 및 유리공사,2억 ~ 3억원 미만,19인 이하,1,2억 
1489,2019-08-22,여름,13:30,13,50~59%,맑음,건축/건축물/문화 및 집회시설,해체 및 철거공사,"4,000만 ~ 1억원 미만",19인 이하,1,"4,000만 "
1491,2019-08-22,여름,15:40,15,70~79%,흐림,건축/건축물/업무시설,해체 및 철거공사,2억 ~ 3억원 미만,19인 이하,1,2억 
1492,2019-08-22,여름,16:05,16,10% 미만,흐림,건축/건축물/기타,기타,200억 ~ 300억원 미만,19인 이하,1,200억 
1493,2019-08-22,여름,17:05,17,80~89%,맑음,토목/항만/기타,토공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1494,2019-08-22,여름,17:20,17,10% 미만,맑음,토목/상하수도/하수도,관공사,200억 ~ 300억원 미만,19인 이하,1,200억 
1495,2019-08-23,여름,8:30,8,90% 이상,맑음,건축/건축물/문화 및 집회시설,미장공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1496,2019-08-23,여름,10:00,10,90% 이상,맑음,토목/상하수도/상수도,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1497,2019-08-23,여름,11:40,11,50~59%,맑음,토목/항만/호안,항만공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1498,2019-08-23,여름,13:10,13,30~39%,맑음,건축/건축물/업무시설,철근콘크리트공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1499,2019-08-23,여름,13:10,13,70~79%,맑음,건축/건축물/공장,철골공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1500,2019-08-23,여름,14:13,14,20~29%,맑음,토목/도로/도로,기타,1억 ~ 2억원 미만,19인 이하,1,1억 
1501,2019-08-24,여름,7:20,7,10~19%,맑음,건축/건축물/노유자시설,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1502,2019-08-24,여름,8:00,8,10% 미만,맑음,토목/교량/도로교량,교량공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1503,2019-08-24,여름,8:00,8,90% 이상,맑음,건축/건축물/업무시설,도장공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1504,2019-08-24,여름,10:00,10,90% 이상,맑음,건축/건축물/교육연구시설,전기설비공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1506,2019-08-24,여름,10:00,10,60~69%,맑음,토목/상하수도/상수도,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1507,2019-08-24,여름,15:00,15,60~69%,강우,건축/건축물/공장,철골공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1508,2019-08-25,여름,14:00,14,50~59%,맑음,건축/건축물/근린생활시설,가설공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1509,2019-08-25,여름,15:00,15,10~19%,맑음,토목/상하수도/상수도,관공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1510,2019-08-25,여름,15:00,15,60~69%,맑음,토목/상하수도/상수도,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1511,2019-08-26,여름,11:00,11,30~39%,맑음,건축/건축물/숙박시설,전기설비공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1512,2019-08-26,여름,16:40,16,40~49%,맑음,토목/상하수도/상수도,가설공사,200억 ~ 300억원 미만,19인 이하,1,200억 
1513,2019-08-26,여름,16:40,16,40~49%,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",19인 이하,3,"1,000억원 이상"
1515,2019-08-27,여름,8:57,8,10~19%,흐림,토목/상하수도/하수도,관공사,200억 ~ 300억원 미만,19인 이하,1,200억 
1516,2019-08-27,여름,10:10,10,30~39%,흐림,건축/건축물/공동주택,건축물 부대공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1517,2019-08-28,여름,7:50,7,90% 이상,맑음,건축/건축물/단독주택,가설공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1518,2019-08-28,여름,10:30,10,30~39%,흐림,건축/건축물/교육연구시설,해체 및 철거공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1519,2019-08-28,여름,10:30,10,20~29%,맑음,건축/건축물/업무시설,철근콘크리트공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1520,2019-08-28,여름,15:22,15,90% 이상,맑음,건축/건축물/근린생활시설,철골공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1521,2019-08-29,여름,7:45,7,50~59%,맑음,건축/건축물/근린생활시설,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1522,2019-08-29,여름,9:00,9,80~89%,강우,건축/건축물/근린생활시설,도장공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1523,2019-08-29,여름,13:00,13,90% 이상,흐림,토목/도로/도로,철근콘크리트공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1524,2019-08-29,여름,14:30,14,10~19%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1525,2019-08-30,여름,8:30,8,40~49%,맑음,건축/건축물/교정 및 군사시설,철근콘크리트공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1526,2019-08-30,여름,10:50,10,60~69%,맑음,조경/기타,터널공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1527,2019-08-30,여름,11:00,11,10~19%,맑음,건축/건축물/공동주택,철근콘크리트공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1528,2019-08-30,여름,11:30,11,10% 미만,맑음,건축/건축물/업무시설,건축 토공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1529,2019-08-30,여름,11:40,11,90% 이상,맑음,토목/기타/부지조성,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1530,2019-08-30,여름,12:30,12,30~39%,맑음,건축/건축물/업무시설,철근콘크리트공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1531,2019-08-30,여름,13:42,13,90% 이상,흐림,건축/건축물/관광 휴게시설,건축 토공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1532,2019-08-30,여름,14:08,14,90% 이상,맑음,건축/건축물/공동주택,건축 토공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1533,2019-08-30,여름,15:00,15,80~89%,맑음,토목/항만/계류시설,하천공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1534,2019-08-31,여름,8:30,8,40~49%,맑음,건축/건축물/공장,기타,200억 ~ 300억원 미만,19인 이하,1,200억 
1535,2019-08-31,여름,10:47,10,90% 이상,흐림,건축/건축물/근린생활시설,기타,5억 ~ 10억원 미만,19인 이하,1,5억 
1536,2019-08-31,여름,12:40,12,20~29%,맑음,건축/건축물/업무시설,철근콘크리트공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1537,2019-08-31,여름,14:58,14,80~89%,맑음,건축/건축물/공동주택,건축물 부대공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1538,2019-09-01,가을,11:20,11,90% 이상,흐림,토목/교량/도로교량,교량공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1539,2019-09-01,가을,15:00,15,70~79%,흐림,토목/상하수도/하수도,가설공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1540,2019-09-01,가을,15:00,15,30~39%,맑음,토목/교량/도로교량,교량공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1541,2019-09-01,가을,16:00,16,30~39%,맑음,건축/건축물/기타,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1542,2019-09-02,가을,7:00,7,70~79%,맑음,건축/건축물/근린생활시설,수장공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1543,2019-09-02,가을,9:00,9,20~29%,맑음,건축/건축물/공장,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1544,2019-09-02,가을,9:30,9,90% 이상,흐림,건축/건축물/공동주택,기타,분류불능,19인 이하,1,분류불능
1546,2019-09-02,가을,12:52,12,20~29%,맑음,건축/건축물/숙박시설,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1547,2019-09-02,가을,13:20,13,30~39%,강우,토목/도로/도로,기타,20억 ~ 50억원 미만,19인 이하,1,20억 
1548,2019-09-02,가을,14:50,14,10~19%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1549,2019-09-02,가을,15:10,15,50~59%,흐림,토목/도로/도로,철근콘크리트공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1550,2019-09-02,가을,16:30,16,90% 이상,흐림,건축/건축물/공장,건축물 부대공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1551,2019-09-03,가을,10:10,10,10% 미만,흐림,건축/건축물/공동주택,가설공사,200억 ~ 300억원 미만,19인 이하,1,200억 
1552,2019-09-03,가을,11:35,11,10% 미만,맑음,건축/건축물/교육연구시설,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1553,2019-09-03,가을,12:05,12,10~19%,흐림,건축/건축물/공장,철골공사,200억 ~ 300억원 미만,19인 이하,1,200억 
1554,2019-09-03,가을,13:00,13,90% 이상,맑음,건축/건축물/종교시설,타일 및 돌공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1555,2019-09-04,가을,16:30,16,90% 이상,흐림,조경/기타,기타,1억 ~ 2억원 미만,19인 이하,1,1억 
1556,2019-09-05,가을,13:40,13,20~29%,흐림,토목/기타,기타,20억 ~ 50억원 미만,19인 이하,1,20억 
1557,2019-09-05,가을,16:40,16,10~19%,맑음,건축/건축물/교육연구시설,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1558,2019-09-06,가을,10:00,10,90% 이상,강우,건축/건축물/창고시설,전기설비공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1559,2019-09-06,가을,10:20,10,60~69%,맑음,건축/건축물/문화 및 집회시설,금속공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1560,2019-09-07,가을,13:30,13,10% 미만,강풍,건축/건축물/업무시설,기타,"500억 ~ 1,000억원 미만",19인 이하,1,500억 
1561,2019-09-07,가을,13:40,13,90% 이상,강우,건축/건축물/공장,기계설비공사,"500억 ~ 1,000억원 미만",19인 이하,1,500억 
1562,2019-09-07,가을,16:00,16,70~79%,맑음,건축/건축물/공동주택,미장공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1563,2019-09-08,가을,11:00,11,90% 이상,맑음,토목/항만/방파제,항만공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1564,2019-09-08,가을,11:00,11,40~49%,흐림,건축/건축물/공동주택,가설공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1565,2019-09-08,가을,16:50,16,90% 이상,흐림,토목/상하수도/상수도,관공사,150억 ~ 200억원 미만,19인 이하,1,150억 
1566,2019-09-09,가을,10:30,10,10% 미만,맑음,토목/기타/부지조성,가설공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1567,2019-09-09,가을,13:15,13,30~39%,강풍,건축/건축물/교육연구시설,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1568,2019-09-09,가을,14:30,14,10~19%,강우,건축/건축물/공동주택,가설공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1569,2019-09-09,가을,15:10,15,60~69%,흐림,건축/건축물/업무시설,기타,20억 ~ 50억원 미만,19인 이하,1,20억 
1570,2019-09-10,가을,14:28,14,40~49%,맑음,건축/건축물/교육연구시설,기타,50억 ~ 100억원 미만,19인 이하,1,50억 
1571,2019-09-11,가을,7:50,7,20~29%,맑음,건축/건축물/공동주택,기타,50억 ~ 100억원 미만,19인 이하,1,50억 
1572,2019-09-11,가을,8:38,8,10% 미만,맑음,건축/건축물/공동주택,기타,5억 ~ 10억원 미만,19인 이하,1,5억 
1573,2019-09-11,가을,13:07,13,10% 미만,맑음,건축/건축물/교육연구시설,가설공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1574,2019-09-16,가을,7:00,7,10~19%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1575,2019-09-16,가을,10:09,10,10~19%,맑음,토목/하천/배수펌프장,하천공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1576,2019-09-16,가을,10:45,10,30~39%,맑음,토목/상하수도/상수도,관공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1577,2019-09-16,가을,11:10,11,10~19%,맑음,건축/건축물/노유자시설,해체 및 철거공사,1억 ~ 2억원 미만,19인 이하,1,1억 
1578,2019-09-16,가을,11:30,11,10~19%,맑음,건축/건축물/공동주택,철근콘크리트공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1579,2019-09-16,가을,11:30,11,30~39%,맑음,토목/상하수도/기타,관공사,150억 ~ 200억원 미만,19인 이하,1,150억 
1580,2019-09-16,가을,11:50,11,20~29%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,5억 ~ 10억원 미만,19인 이하,2,5억 
1581,2019-09-16,가을,11:55,11,20~29%,맑음,토목/상하수도/하수도,가설공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1582,2019-09-16,가을,14:50,14,30~39%,맑음,토목/상하수도/하수도,관공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1583,2019-09-16,가을,16:30,16,90% 이상,흐림,건축/건축물/공동주택,기타,5억 ~ 10억원 미만,19인 이하,1,5억 
1584,2019-09-17,가을,3:00,3,90% 이상,흐림,토목/항만/기타,항만공사,"500억 ~ 1,000억원 미만",19인 이하,1,500억 
1585,2019-09-17,가을,10:30,10,90% 이상,흐림,건축/건축물/공동주택,철근콘크리트공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1586,2019-09-17,가을,11:30,11,80~89%,맑음,건축/건축물/공장,기타,"1,000만원 미만",19인 이하,1,"1,000만원 미만"
1587,2019-09-17,가을,13:00,13,90% 이상,맑음,건축/건축물/공동주택,조적공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1588,2019-09-17,가을,15:30,15,20~29%,맑음,건축/건축물/기타,기타,"1,000만원 미만",19인 이하,1,"1,000만원 미만"
1589,2019-09-17,가을,15:30,15,30~39%,맑음,건축/건축물/종교시설,철근콘크리트공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1590,2019-09-18,가을,8:18,8,90% 이상,맑음,토목/옹벽 및 절토사면/옹벽,토공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1591,2019-09-18,가을,9:30,9,80~89%,맑음,건축/건축물/업무시설,지붕 및 홈통공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1592,2019-09-18,가을,9:30,9,70~79%,맑음,건축/건축물/교육연구시설,미장공사,2억 ~ 3억원 미만,19인 이하,1,2억 
1593,2019-09-18,가을,9:45,9,70~79%,맑음,토목/항만/기타,하천공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1594,2019-09-18,가을,10:10,10,40~49%,맑음,건축/건축물/근린생활시설,가설공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1595,2019-09-18,가을,11:25,11,10% 미만,맑음,건축/건축물/근린생활시설,가설공사,200억 ~ 300억원 미만,19인 이하,1,200억 
1596,2019-09-18,가을,11:30,11,90% 이상,맑음,건축/건축물/숙박시설,건축물 부대공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1597,2019-09-18,가을,11:40,11,20~29%,맑음,토목/도로/도로,교량공사,"500억 ~ 1,000억원 미만",19인 이하,1,500억 
1598,2019-09-18,가을,12:00,12,10% 미만,맑음,건축/건축물/공동주택,토공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1599,2019-09-18,가을,15:00,15,90% 이상,맑음,건축/건축물/업무시설,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1600,2019-09-18,가을,16:00,16,90% 이상,맑음,건축/건축물/공장,수장공사,300억 ~ 500억원 미만,19인 이하,1,300억 
1601,2019-09-19,가을,9:17,9,60~69%,맑음,건축/건축물/위험물 저장 및 처리시설,가설공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1602,2019-09-19,가을,9:26,9,10% 미만,맑음,건축/건축물/교정 및 군사시설,철근콘크리트공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1603,2019-09-19,가을,9:30,9,80~89%,맑음,토목/옹벽 및 절토사면/절토사면,토공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1605,2019-09-19,가을,11:00,11,10% 미만,맑음,건축/건축물/노유자시설,철근콘크리트공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1606,2019-09-20,가을,7:00,7,60~69%,맑음,건축/건축물/근린생활시설,철근콘크리트공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1607,2019-09-20,가을,11:00,11,10~19%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1608,2019-09-20,가을,11:00,11,10% 미만,맑음,토목/도로/기타,기타,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1609,2019-09-20,가을,14:20,14,10~19%,맑음,건축/건축물/근린생활시설,도장공사,"1,000만원 미만",19인 이하,1,"1,000만원 미만"
1610,2019-09-20,가을,15:40,15,10% 미만,맑음,산업환경설비/산업생산시설/석유화학공장,토공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1611,2019-09-20,가을,16:30,16,70~79%,맑음,토목/상하수도/상수도,토공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1612,2019-09-21,가을,15:00,15,80~89%,맑음,토목/도로/도로,도로 및 포장공사,"4,000만 ~ 1억원 미만",19인 이하,1,"4,000만 "
1613,2019-09-21,가을,15:15,15,30~39%,강우,건축/건축물/종교시설,가설공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1614,2019-09-22,가을,16:00,16,70~79%,강우,건축/건축물/교육연구시설,목공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1615,2019-09-23,가을,9:00,9,90% 이상,흐림,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1616,2019-09-23,가을,10:30,10,10% 미만,맑음,토목/상하수도/상수도,가설공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1617,2019-09-23,가을,10:30,10,30~39%,맑음,건축/건축물/업무시설,가설공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1618,2019-09-23,가을,15:00,15,90% 이상,맑음,건축/건축물/단독주택,철근콘크리트공사,5억 ~ 10억원 미만,19인 이하,1,5억 
1619,2019-09-24,가을,8:20,8,70~79%,맑음,건축/건축물/업무시설,타일 및 돌공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1620,2019-09-24,가을,8:45,8,10~19%,맑음,건축/건축물/업무시설,철근콘크리트공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1621,2019-09-24,가을,10:10,10,90% 이상,맑음,건축/건축물/공장,수장공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1622,2019-09-24,가을,11:20,11,90% 이상,맑음,건축/건축물/공동주택,전기설비공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1623,2019-09-24,가을,11:45,11,90% 이상,맑음,토목/상하수도/상수도,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1624,2019-09-25,가을,10:00,10,10~19%,흐림,건축/건축물/노유자시설,건축 토공사,150억 ~ 200억원 미만,19인 이하,1,150억 
1625,2019-09-25,가을,10:00,10,80~89%,흐림,건축/건축물/종교시설,미장공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1627,2019-09-25,가을,14:00,14,20~29%,맑음,건축/건축물/근린생활시설,기타,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1628,2019-09-25,가을,14:00,14,90% 이상,맑음,조경/기타,기타,10억 ~ 20억원 미만,19인 이하,1,10억 
1629,2019-09-25,가을,16:00,16,90% 이상,맑음,건축/건축물/장례시설,기타,100억 ~ 150억원 미만,19인 이하,1,100억 
1630,2019-09-26,가을,8:20,8,60~69%,맑음,건축/건축물/공장,철골공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1631,2019-09-26,가을,9:50,9,10% 미만,맑음,건축/건축물/공동주택,기타,100억 ~ 150억원 미만,19인 이하,1,100억 
1632,2019-09-26,가을,10:00,10,80~89%,흐림,토목/기타/부지조성,기타,20억 ~ 50억원 미만,19인 이하,1,20억 
1633,2019-09-26,가을,10:00,10,10% 미만,맑음,조경/기타,기타,"2,000만 ~ 4,000만원 미만",19인 이하,1,"2,000만 "
1634,2019-09-26,가을,10:30,10,30~39%,맑음,건축/건축물/의료시설,해체 및 철거공사,50억 ~ 100억원 미만,19인 이하,1,50억 
1635,2019-09-26,가을,10:30,10,90% 이상,맑음,건축/건축물/창고시설,기타,3억 ~ 5억원 미만,19인 이하,1,3억 
1636,2019-09-26,가을,11:00,11,40~49%,맑음,건축/건축물/단독주택,철골공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1637,2019-09-26,가을,14:00,14,70~79%,맑음,토목/하천/제방(통관/호안),하천공사,200억 ~ 300억원 미만,19인 이하,1,200억 
1639,2019-09-27,가을,10:30,10,80~89%,맑음,건축/건축물/공장,기타,300억 ~ 500억원 미만,19인 이하,1,300억 
1640,2019-09-27,가을,13:35,13,50~59%,맑음,건축/건축물/공장,수장공사,1억 ~ 2억원 미만,19인 이하,1,1억 
1641,2019-09-27,가을,15:00,15,10~19%,흐림,건축/건축물/공동주택,가설공사,"500억 ~ 1,000억원 미만",19인 이하,1,500억 
1642,2019-09-27,가을,15:00,15,40~49%,맑음,토목/상하수도/하수도,가설공사,150억 ~ 200억원 미만,19인 이하,1,150억 
1643,2019-09-28,가을,10:15,10,10% 미만,흐림,건축/건축물/문화 및 집회시설,철근콘크리트공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1644,2019-09-28,가을,15:00,15,90% 이상,흐림,건축/건축물/공동주택,타일 및 돌공사,"1,000억원 이상",19인 이하,1,"1,000억원 이상"
1646,2019-09-29,가을,10:00,10,80~89%,안개,건축/건축물/교육연구시설,가설공사,20억 ~ 50억원 미만,19인 이하,1,20억 
1647,2019-09-29,가을,14:40,14,10~19%,맑음,산업환경설비/발전시설,전기설비공사,10억 ~ 20억원 미만,19인 이하,1,10억 
1648,2019-09-30,가을,8:40,8,70~79%,맑음,토목/하천/기타,기타,200억 ~ 300억원 미만,19인 이하,1,200억 
1649,2019-09-30,가을,9:30,9,30~39%,흐림,토목/도로/도로,기타,20억 ~ 50억원 미만,19인 이하,1,20억 
1650,2019-09-30,가을,9:30,9,10~19%,맑음,건축/건축물/판매시설,건축 토공사,100억 ~ 150억원 미만,19인 이하,1,100억 
1651,2019-09-30,가을,15:00,15,50~59%,맑음,건축/건축물/교육연구시설,전기설비공사,3억 ~ 5억원 미만,19인 이하,1,3억 
1652,2019-10-01,가을,11:00,11,60~69%,맑음,토목/댐/기타,가설공사,300억 ~ 500억원 미만,19인 이하,2,300억 
