계절,hour,공정율,날씨,공사종류,공종(소분류),공사비,작업자수
여름,13,10% 미만,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",50~99인
가을,8,20~29%,맑음,건축/건축물/공동주택,기타,300억 ~ 500억원 미만,50~99인
가을,10,40~49%,맑음,건축/건축물/문화 및 집회시설,기타,200억 ~ 300억원 미만,50~99인
가을,17,40~49%,흐림,토목/터널/도로터널,기타,"1,000억원 이상",50~99인
가을,16,10~19%,맑음,건축/건축물/의료시설,기타,"1,000억원 이상",50~99인
가을,9,90% 이상,맑음,건축/건축물/업무시설,기타,50억 ~ 100억원 미만,50~99인
가을,9,90% 이상,맑음,건축/건축물/업무시설,기타,"500억 ~ 1,000억원 미만",50~99인
겨울,16,40~49%,맑음,토목/터널/철도터널,기타,"1,000억원 이상",50~99인
겨울,10,90% 이상,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",50~99인
겨울,10,90% 이상,맑음,건축/건축물/공동주택,철근콘크리트공사,300억 ~ 500억원 미만,50~99인
겨울,11,10~19%,맑음,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",50~99인
겨울,13,10% 미만,흐림,토목/도로/도로,교량공사,"1,000억원 이상",50~99인
nan,11,10% 미만,맑음,건축/건축물/업무시설,철골공사,300억 ~ 500억원 미만,50~99인
봄,11,10% 미만,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",50~99인
봄,7,10% 미만,맑음,건축/건축물/문화 및 집회시설,가설공사,"500억 ~ 1,000억원 미만",50~99인
봄,14,40~49%,맑음,건축/건축물/판매시설,철골공사,10억 ~ 20억원 미만,50~99인
봄,14,30~39%,맑음,건축/건축물/창고시설,철근콘크리트공사,150억 ~ 200억원 미만,50~99인
봄,9,90% 이상,맑음,건축/건축물/공장,수장공사,100억 ~ 150억원 미만,50~99인
봄,16,60~69%,맑음,건축/건축물/공동주택,조적공사,200억 ~ 300억원 미만,50~99인
여름,13,50~59%,맑음,토목/터널/철도터널,철근콘크리트공사,"1,000억원 이상",50~99인
여름,14,10~19%,강우,건축/건축물/판매시설,기타,"500억 ~ 1,000억원 미만",50~99인
여름,8,30~39%,맑음,건축/건축물/창고시설,철골공사,300억 ~ 500억원 미만,50~99인
여름,14,30~39%,맑음,토목/상하수도/상수도,가설공사,200억 ~ 300억원 미만,50~99인
가을,11,60~69%,맑음,토목/철도/지하철,철근콘크리트공사,"1,000억원 이상",50~99인
가을,16,20~29%,맑음,건축/건축물/근린생활시설,철근콘크리트공사,"500억 ~ 1,000억원 미만",50~99인
가을,12,10~19%,맑음,토목/기타/부지조성,토공사,"1,000억원 이상",50~99인
가을,9,80~89%,맑음,토목/옹벽 및 절토사면/절토사면,댐 및 제방공사,"1,000억원 이상",50~99인
가을,17,30~39%,맑음,건축/건축물/공장,철근콘크리트공사,100억 ~ 150억원 미만,50~99인
겨울,7,30~39%,흐림,건축/건축물/공동주택,철근콘크리트공사,200억 ~ 300억원 미만,50~99인
겨울,8,40~49%,맑음,토목/터널/도로터널,터널공사,"1,000억원 이상",50~99인
겨울,8,10~19%,맑음,건축/건축물/공동주택,철근콘크리트공사,100억 ~ 150억원 미만,50~99인
봄,8,60~69%,맑음,토목/철도/지하철,가설공사,"1,000억원 이상",50~99인
여름,15,80~89%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",500인 이상
여름,8,10~19%,맑음,산업환경설비/발전시설,가설공사,"1,000억원 이상",500인 이상
여름,12,90% 이상,맑음,건축/건축물/공동주택,수장공사,"500억 ~ 1,000억원 미만",500인 이상
여름,10,80~89%,흐림,건축/건축물/공장,전기설비공사,"1,000억원 이상",500인 이상
가을,8,80~89%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",500인 이상
가을,13,20~29%,흐림,건축/건축물/공장,철골공사,"1,000억원 이상",500인 이상
가을,16,10~19%,맑음,산업환경설비/발전시설,기타,"1,000억원 이상",500인 이상
가을,18,90% 이상,강우,건축/건축물/기타,기타,"1,000억원 이상",500인 이상
가을,8,60~69%,흐림,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",500인 이상
가을,11,70~79%,맑음,건축/건축물/공동주택,도장공사,"1,000억원 이상",500인 이상
가을,16,40~49%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",500인 이상
가을,14,40~49%,강우,산업환경설비/발전시설,철근콘크리트공사,"1,000억원 이상",500인 이상
가을,13,60~69%,흐림,건축/건축물/업무시설,전기설비공사,"1,000억원 이상",500인 이상
가을,10,80~89%,맑음,건축/건축물/공장,수장공사,300억 ~ 500억원 미만,500인 이상
nan,15,90% 이상,맑음,건축/건축물/공동주택,기계설비공사,"1,000억원 이상",500인 이상
nan,9,90% 이상,맑음,건축/건축물/공장,가설공사,"1,000억원 이상",500인 이상
봄,16,90% 이상,흐림,건축/건축물/공장,기계설비공사,분류불능,500인 이상
봄,13,10~19%,맑음,건축/건축물/공장,전기설비공사,10억 ~ 20억원 미만,500인 이상
봄,13,50~59%,맑음,건축/건축물/공장,산업설비공사,"1,000억원 이상",500인 이상
봄,10,80~89%,맑음,산업환경설비/발전시설,기타,"1,000억원 이상",500인 이상
봄,15,90% 이상,맑음,산업환경설비/발전시설,기계설비공사,"1,000억원 이상",500인 이상
여름,14,50~59%,맑음,건축/건축물/교육연구시설,지정공사,200억 ~ 300억원 미만,500인 이상
가을,7,90% 이상,맑음,건축/건축물/공동주택,금속공사,"1,000억원 이상",500인 이상
가을,14,90% 이상,맑음,건축/건축물/공동주택,금속공사,"1,000억원 이상",500인 이상
가을,11,50~59%,맑음,산업환경설비/발전시설,철골공사,"1,000억원 이상",500인 이상
가을,15,80~89%,맑음,건축/건축물/공장,기타,"1,000억원 이상",500인 이상
가을,10,80~89%,맑음,건축/건축물/공장,산업설비공사,"1,000억원 이상",500인 이상
봄,0,80~89%,맑음,건축/건축물/운수시설,기타,10억 ~ 20억원 미만,알수없음
가을,0,90% 이상,맑음,건축/건축물/공장,기타,"1,000억원 이상",알수없음
